group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20 - slow,,,,,1022840.0,ns,55
fib 20 - slow,,,,,2016796.0,ns,110
fib 20 - slow,,,,,3612162.0,ns,165
fib 20 - slow,,,,,4299985.0,ns,220
fib 20 - slow,,,,,4868163.0,ns,275
fib 20 - slow,,,,,6124066.0,ns,330
fib 20 - slow,,,,,6816808.0,ns,385
fib 20 - slow,,,,,7942085.0,ns,440
fib 20 - slow,,,,,9431524.0,ns,495
fib 20 - slow,,,,,9894377.0,ns,550
fib 20 - slow,,,,,11211552.0,ns,605
fib 20 - slow,,,,,12512375.0,ns,660
fib 20 - slow,,,,,12919923.0,ns,715
fib 20 - slow,,,,,13735675.0,ns,770
fib 20 - slow,,,,,14877779.0,ns,825
fib 20 - slow,,,,,16200337.0,ns,880
fib 20 - slow,,,,,16636994.0,ns,935
fib 20 - slow,,,,,17702047.0,ns,990
fib 20 - slow,,,,,18918286.0,ns,1045
fib 20 - slow,,,,,19880336.0,ns,1100
fib 20 - slow,,,,,20997543.0,ns,1155
fib 20 - slow,,,,,21993966.0,ns,1210
fib 20 - slow,,,,,21609245.0,ns,1265
fib 20 - slow,,,,,22748155.0,ns,1320
fib 20 - slow,,,,,23580494.0,ns,1375
fib 20 - slow,,,,,24509792.0,ns,1430
fib 20 - slow,,,,,26470678.0,ns,1485
fib 20 - slow,,,,,26752831.0,ns,1540
fib 20 - slow,,,,,28478196.0,ns,1595
fib 20 - slow,,,,,28736435.0,ns,1650
fib 20 - slow,,,,,30526672.0,ns,1705
fib 20 - slow,,,,,31985475.0,ns,1760
fib 20 - slow,,,,,32434897.0,ns,1815
fib 20 - slow,,,,,33828015.0,ns,1870
fib 20 - slow,,,,,34744807.0,ns,1925
fib 20 - slow,,,,,35466211.0,ns,1980
fib 20 - slow,,,,,36177720.0,ns,2035
fib 20 - slow,,,,,37445521.0,ns,2090
fib 20 - slow,,,,,38368128.0,ns,2145
fib 20 - slow,,,,,38870208.0,ns,2200
fib 20 - slow,,,,,39088200.0,ns,2255
fib 20 - slow,,,,,40577834.0,ns,2310
fib 20 - slow,,,,,41678538.0,ns,2365
fib 20 - slow,,,,,42085544.0,ns,2420
fib 20 - slow,,,,,44792526.0,ns,2475
fib 20 - slow,,,,,44753064.0,ns,2530
fib 20 - slow,,,,,46856141.0,ns,2585
fib 20 - slow,,,,,47709460.0,ns,2640
fib 20 - slow,,,,,49784858.0,ns,2695
fib 20 - slow,,,,,49591529.0,ns,2750
fib 20 - slow,,,,,50288369.0,ns,2805
fib 20 - slow,,,,,50984797.0,ns,2860
fib 20 - slow,,,,,51617902.0,ns,2915
fib 20 - slow,,,,,53630129.0,ns,2970
fib 20 - slow,,,,,53838808.0,ns,3025
fib 20 - slow,,,,,55475106.0,ns,3080
fib 20 - slow,,,,,56622765.0,ns,3135
fib 20 - slow,,,,,56595633.0,ns,3190
fib 20 - slow,,,,,58020224.0,ns,3245
fib 20 - slow,,,,,60084386.0,ns,3300
fib 20 - slow,,,,,58388229.0,ns,3355
fib 20 - slow,,,,,60895094.0,ns,3410
fib 20 - slow,,,,,60504286.0,ns,3465
fib 20 - slow,,,,,63443966.0,ns,3520
fib 20 - slow,,,,,64733172.0,ns,3575
fib 20 - slow,,,,,64089625.0,ns,3630
fib 20 - slow,,,,,66708201.0,ns,3685
fib 20 - slow,,,,,67287890.0,ns,3740
fib 20 - slow,,,,,67950566.0,ns,3795
fib 20 - slow,,,,,68393949.0,ns,3850
fib 20 - slow,,,,,70003783.0,ns,3905
fib 20 - slow,,,,,72290672.0,ns,3960
fib 20 - slow,,,,,74025047.0,ns,4015
fib 20 - slow,,,,,73528925.0,ns,4070
fib 20 - slow,,,,,74155744.0,ns,4125
fib 20 - slow,,,,,74387040.0,ns,4180
fib 20 - slow,,,,,74413247.0,ns,4235
fib 20 - slow,,,,,76285802.0,ns,4290
fib 20 - slow,,,,,79512750.0,ns,4345
fib 20 - slow,,,,,78060513.0,ns,4400
fib 20 - slow,,,,,78993830.0,ns,4455
fib 20 - slow,,,,,81109466.0,ns,4510
fib 20 - slow,,,,,82123706.0,ns,4565
fib 20 - slow,,,,,82809356.0,ns,4620
fib 20 - slow,,,,,83865277.0,ns,4675
fib 20 - slow,,,,,84199974.0,ns,4730
fib 20 - slow,,,,,85599553.0,ns,4785
fib 20 - slow,,,,,86952564.0,ns,4840
fib 20 - slow,,,,,88385941.0,ns,4895
fib 20 - slow,,,,,90133606.0,ns,4950
fib 20 - slow,,,,,91174012.0,ns,5005
fib 20 - slow,,,,,90992706.0,ns,5060
fib 20 - slow,,,,,92340092.0,ns,5115
fib 20 - slow,,,,,92225794.0,ns,5170
fib 20 - slow,,,,,92637667.0,ns,5225
fib 20 - slow,,,,,95666746.0,ns,5280
fib 20 - slow,,,,,96110987.0,ns,5335
fib 20 - slow,,,,,97593607.0,ns,5390
fib 20 - slow,,,,,97615909.0,ns,5445
fib 20 - slow,,,,,97155479.0,ns,5500
