group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib20-fast,,,,,958613.0,ns,206354
fib20-fast,,,,,1917071.0,ns,412708
fib20-fast,,,,,2877544.0,ns,619062
fib20-fast,,,,,3834069.0,ns,825416
fib20-fast,,,,,4893176.0,ns,1031770
fib20-fast,,,,,5811732.0,ns,1238124
fib20-fast,,,,,6719796.0,ns,1444478
fib20-fast,,,,,7680839.0,ns,1650832
fib20-fast,,,,,8980928.0,ns,1857186
fib20-fast,,,,,9762829.0,ns,2063540
fib20-fast,,,,,10545500.0,ns,2269894
fib20-fast,,,,,11820678.0,ns,2476248
fib20-fast,,,,,12531772.0,ns,2682602
fib20-fast,,,,,13811882.0,ns,2888956
fib20-fast,,,,,14466956.0,ns,3095310
fib20-fast,,,,,15562312.0,ns,3301664
fib20-fast,,,,,16525039.0,ns,3508018
fib20-fast,,,,,17939748.0,ns,3714372
fib20-fast,,,,,18514605.0,ns,3920726
fib20-fast,,,,,19731391.0,ns,4127080
fib20-fast,,,,,20615642.0,ns,4333434
fib20-fast,,,,,23437966.0,ns,4539788
fib20-fast,,,,,22543916.0,ns,4746142
fib20-fast,,,,,23795814.0,ns,4952496
fib20-fast,,,,,24566363.0,ns,5158850
fib20-fast,,,,,25579504.0,ns,5365204
fib20-fast,,,,,26700839.0,ns,5571558
fib20-fast,,,,,27620743.0,ns,5777912
fib20-fast,,,,,28159182.0,ns,5984266
fib20-fast,,,,,29766865.0,ns,6190620
fib20-fast,,,,,29898231.0,ns,6396974
fib20-fast,,,,,30334027.0,ns,6603328
fib20-fast,,,,,31868286.0,ns,6809682
fib20-fast,,,,,33028827.0,ns,7016036
fib20-fast,,,,,34265564.0,ns,7222390
fib20-fast,,,,,34912441.0,ns,7428744
fib20-fast,,,,,35740046.0,ns,7635098
fib20-fast,,,,,38031464.0,ns,7841452
fib20-fast,,,,,38051212.0,ns,8047806
fib20-fast,,,,,38750776.0,ns,8254160
fib20-fast,,,,,39369446.0,ns,8460514
fib20-fast,,,,,39919956.0,ns,8666868
fib20-fast,,,,,40843603.0,ns,8873222
fib20-fast,,,,,43845311.0,ns,9079576
fib20-fast,,,,,43274497.0,ns,9285930
fib20-fast,,,,,46100327.0,ns,9492284
fib20-fast,,,,,45664426.0,ns,9698638
fib20-fast,,,,,47689806.0,ns,9904992
fib20-fast,,,,,48778491.0,ns,10111346
fib20-fast,,,,,62320494.0,ns,10317700
fib20-fast,,,,,61884580.0,ns,10524054
fib20-fast,,,,,51574058.0,ns,10730408
fib20-fast,,,,,51224245.0,ns,10936762
fib20-fast,,,,,52951612.0,ns,11143116
fib20-fast,,,,,53857854.0,ns,11349470
fib20-fast,,,,,56024584.0,ns,11555824
fib20-fast,,,,,55948284.0,ns,11762178
fib20-fast,,,,,56456784.0,ns,11968532
fib20-fast,,,,,60088711.0,ns,12174886
fib20-fast,,,,,58579547.0,ns,12381240
fib20-fast,,,,,60915025.0,ns,12587594
fib20-fast,,,,,60100068.0,ns,12793948
fib20-fast,,,,,61640455.0,ns,13000302
fib20-fast,,,,,62585211.0,ns,13206656
fib20-fast,,,,,64259966.0,ns,13413010
fib20-fast,,,,,65029601.0,ns,13619364
fib20-fast,,,,,65253486.0,ns,13825718
fib20-fast,,,,,66057310.0,ns,14032072
fib20-fast,,,,,67766321.0,ns,14238426
fib20-fast,,,,,69112372.0,ns,14444780
fib20-fast,,,,,69313223.0,ns,14651134
fib20-fast,,,,,72037088.0,ns,14857488
fib20-fast,,,,,72072093.0,ns,15063842
fib20-fast,,,,,73107654.0,ns,15270196
fib20-fast,,,,,73789908.0,ns,15476550
fib20-fast,,,,,73194762.0,ns,15682904
fib20-fast,,,,,74384419.0,ns,15889258
fib20-fast,,,,,74427385.0,ns,16095612
fib20-fast,,,,,75424863.0,ns,16301966
fib20-fast,,,,,77028381.0,ns,16508320
fib20-fast,,,,,78735318.0,ns,16714674
fib20-fast,,,,,78567337.0,ns,16921028
fib20-fast,,,,,83318342.0,ns,17127382
fib20-fast,,,,,81783251.0,ns,17333736
fib20-fast,,,,,82858009.0,ns,17540090
fib20-fast,,,,,84158448.0,ns,17746444
fib20-fast,,,,,86194456.0,ns,17952798
fib20-fast,,,,,85762900.0,ns,18159152
fib20-fast,,,,,86189891.0,ns,18365506
fib20-fast,,,,,87425730.0,ns,18571860
fib20-fast,,,,,88991360.0,ns,18778214
fib20-fast,,,,,89645553.0,ns,18984568
fib20-fast,,,,,89903976.0,ns,19190922
fib20-fast,,,,,93636046.0,ns,19397276
fib20-fast,,,,,94734271.0,ns,19603630
fib20-fast,,,,,93587492.0,ns,19809984
fib20-fast,,,,,95132220.0,ns,20016338
fib20-fast,,,,,96472641.0,ns,20222692
fib20-fast,,,,,96350153.0,ns,20429046
fib20-fast,,,,,98337508.0,ns,20635400
