group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib20-slow,,,,,965214.0,ns,49
fib20-slow,,,,,1964188.0,ns,98
fib20-slow,,,,,2898058.0,ns,147
fib20-slow,,,,,3909927.0,ns,196
fib20-slow,,,,,4825971.0,ns,245
fib20-slow,,,,,5951063.0,ns,294
fib20-slow,,,,,6751073.0,ns,343
fib20-slow,,,,,7801232.0,ns,392
fib20-slow,,,,,8839840.0,ns,441
fib20-slow,,,,,9700501.0,ns,490
fib20-slow,,,,,10720346.0,ns,539
fib20-slow,,,,,11672956.0,ns,588
fib20-slow,,,,,12741823.0,ns,637
fib20-slow,,,,,13518391.0,ns,686
fib20-slow,,,,,14613446.0,ns,735
fib20-slow,,,,,15180508.0,ns,784
fib20-slow,,,,,16399671.0,ns,833
fib20-slow,,,,,17088858.0,ns,882
fib20-slow,,,,,18627574.0,ns,931
fib20-slow,,,,,19669320.0,ns,980
fib20-slow,,,,,20428713.0,ns,1029
fib20-slow,,,,,21441467.0,ns,1078
fib20-slow,,,,,22655089.0,ns,1127
fib20-slow,,,,,23221260.0,ns,1176
fib20-slow,,,,,24452764.0,ns,1225
fib20-slow,,,,,25236297.0,ns,1274
fib20-slow,,,,,25647241.0,ns,1323
fib20-slow,,,,,27085754.0,ns,1372
fib20-slow,,,,,27754943.0,ns,1421
fib20-slow,,,,,29419824.0,ns,1470
fib20-slow,,,,,30784611.0,ns,1519
fib20-slow,,,,,32706793.0,ns,1568
fib20-slow,,,,,32232495.0,ns,1617
fib20-slow,,,,,33198779.0,ns,1666
fib20-slow,,,,,34141212.0,ns,1715
fib20-slow,,,,,34610841.0,ns,1764
fib20-slow,,,,,35662386.0,ns,1813
fib20-slow,,,,,37007820.0,ns,1862
fib20-slow,,,,,38409576.0,ns,1911
fib20-slow,,,,,40638787.0,ns,1960
fib20-slow,,,,,40410203.0,ns,2009
fib20-slow,,,,,41167522.0,ns,2058
fib20-slow,,,,,42193440.0,ns,2107
fib20-slow,,,,,43807615.0,ns,2156
fib20-slow,,,,,44415309.0,ns,2205
fib20-slow,,,,,44947437.0,ns,2254
fib20-slow,,,,,45843010.0,ns,2303
fib20-slow,,,,,46437036.0,ns,2352
fib20-slow,,,,,47978858.0,ns,2401
fib20-slow,,,,,49012802.0,ns,2450
fib20-slow,,,,,49793548.0,ns,2499
fib20-slow,,,,,50720436.0,ns,2548
fib20-slow,,,,,52436516.0,ns,2597
fib20-slow,,,,,52582963.0,ns,2646
fib20-slow,,,,,54407826.0,ns,2695
fib20-slow,,,,,54756377.0,ns,2744
fib20-slow,,,,,56178413.0,ns,2793
fib20-slow,,,,,56801747.0,ns,2842
fib20-slow,,,,,57826313.0,ns,2891
fib20-slow,,,,,61345939.0,ns,2940
fib20-slow,,,,,59241743.0,ns,2989
fib20-slow,,,,,60459229.0,ns,3038
fib20-slow,,,,,60803376.0,ns,3087
fib20-slow,,,,,63291824.0,ns,3136
fib20-slow,,,,,63417255.0,ns,3185
fib20-slow,,,,,64329798.0,ns,3234
fib20-slow,,,,,64909272.0,ns,3283
fib20-slow,,,,,66636199.0,ns,3332
fib20-slow,,,,,67331247.0,ns,3381
fib20-slow,,,,,68337312.0,ns,3430
fib20-slow,,,,,71943375.0,ns,3479
fib20-slow,,,,,70636201.0,ns,3528
fib20-slow,,,,,72337880.0,ns,3577
fib20-slow,,,,,72942298.0,ns,3626
fib20-slow,,,,,75437863.0,ns,3675
fib20-slow,,,,,73918474.0,ns,3724
fib20-slow,,,,,75750044.0,ns,3773
fib20-slow,,,,,77316140.0,ns,3822
fib20-slow,,,,,78603280.0,ns,3871
fib20-slow,,,,,78258558.0,ns,3920
fib20-slow,,,,,80380044.0,ns,3969
fib20-slow,,,,,80639614.0,ns,4018
fib20-slow,,,,,81212056.0,ns,4067
fib20-slow,,,,,83966247.0,ns,4116
fib20-slow,,,,,83812578.0,ns,4165
fib20-slow,,,,,85945646.0,ns,4214
fib20-slow,,,,,85267966.0,ns,4263
fib20-slow,,,,,89124548.0,ns,4312
fib20-slow,,,,,86851092.0,ns,4361
fib20-slow,,,,,88789564.0,ns,4410
fib20-slow,,,,,90107625.0,ns,4459
fib20-slow,,,,,89881500.0,ns,4508
fib20-slow,,,,,92320547.0,ns,4557
fib20-slow,,,,,91660064.0,ns,4606
fib20-slow,,,,,94197472.0,ns,4655
fib20-slow,,,,,94893932.0,ns,4704
fib20-slow,,,,,95794817.0,ns,4753
fib20-slow,,,,,97480422.0,ns,4802
fib20-slow,,,,,98109398.0,ns,4851
fib20-slow,,,,,97153072.0,ns,4900
