group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib20slow,,,,,1112419.0,ns,49
fib20slow,,,,,2006000.0,ns,98
fib20slow,,,,,2828486.0,ns,147
fib20slow,,,,,3814198.0,ns,196
fib20slow,,,,,4877122.0,ns,245
fib20slow,,,,,6222916.0,ns,294
fib20slow,,,,,6773685.0,ns,343
fib20slow,,,,,7640428.0,ns,392
fib20slow,,,,,8753239.0,ns,441
fib20slow,,,,,10954891.0,ns,490
fib20slow,,,,,11205798.0,ns,539
fib20slow,,,,,11999050.0,ns,588
fib20slow,,,,,12649762.0,ns,637
fib20slow,,,,,13966314.0,ns,686
fib20slow,,,,,15275522.0,ns,735
fib20slow,,,,,15730199.0,ns,784
fib20slow,,,,,17047134.0,ns,833
fib20slow,,,,,17675466.0,ns,882
fib20slow,,,,,18658908.0,ns,931
fib20slow,,,,,19405965.0,ns,980
fib20slow,,,,,20542068.0,ns,1029
fib20slow,,,,,21355003.0,ns,1078
fib20slow,,,,,22354568.0,ns,1127
fib20slow,,,,,23343467.0,ns,1176
fib20slow,,,,,24103954.0,ns,1225
fib20slow,,,,,27656321.0,ns,1274
fib20slow,,,,,27034286.0,ns,1323
fib20slow,,,,,27110261.0,ns,1372
fib20slow,,,,,28413652.0,ns,1421
fib20slow,,,,,29228081.0,ns,1470
fib20slow,,,,,30515690.0,ns,1519
fib20slow,,,,,31200824.0,ns,1568
fib20slow,,,,,32203536.0,ns,1617
fib20slow,,,,,34562527.0,ns,1666
fib20slow,,,,,34497987.0,ns,1715
fib20slow,,,,,35378940.0,ns,1764
fib20slow,,,,,36289911.0,ns,1813
fib20slow,,,,,37143814.0,ns,1862
fib20slow,,,,,37748531.0,ns,1911
fib20slow,,,,,38942364.0,ns,1960
fib20slow,,,,,40844897.0,ns,2009
fib20slow,,,,,41303135.0,ns,2058
fib20slow,,,,,42206364.0,ns,2107
fib20slow,,,,,43283691.0,ns,2156
fib20slow,,,,,43926126.0,ns,2205
fib20slow,,,,,46123864.0,ns,2254
fib20slow,,,,,46671906.0,ns,2303
fib20slow,,,,,47508616.0,ns,2352
fib20slow,,,,,48049209.0,ns,2401
fib20slow,,,,,48799272.0,ns,2450
fib20slow,,,,,49484825.0,ns,2499
fib20slow,,,,,54557573.0,ns,2548
fib20slow,,,,,51738231.0,ns,2597
fib20slow,,,,,53162256.0,ns,2646
fib20slow,,,,,53648351.0,ns,2695
fib20slow,,,,,54799894.0,ns,2744
fib20slow,,,,,56507121.0,ns,2793
fib20slow,,,,,57077969.0,ns,2842
fib20slow,,,,,57478783.0,ns,2891
fib20slow,,,,,59436625.0,ns,2940
fib20slow,,,,,59898314.0,ns,2989
fib20slow,,,,,62079408.0,ns,3038
fib20slow,,,,,61485563.0,ns,3087
fib20slow,,,,,62840735.0,ns,3136
fib20slow,,,,,66779285.0,ns,3185
fib20slow,,,,,65155365.0,ns,3234
fib20slow,,,,,66212490.0,ns,3283
fib20slow,,,,,66150609.0,ns,3332
fib20slow,,,,,70661596.0,ns,3381
fib20slow,,,,,69335722.0,ns,3430
fib20slow,,,,,70008640.0,ns,3479
fib20slow,,,,,71882243.0,ns,3528
fib20slow,,,,,71524732.0,ns,3577
fib20slow,,,,,72066624.0,ns,3626
fib20slow,,,,,73424084.0,ns,3675
fib20slow,,,,,74336218.0,ns,3724
fib20slow,,,,,75705990.0,ns,3773
fib20slow,,,,,76471834.0,ns,3822
fib20slow,,,,,79368494.0,ns,3871
fib20slow,,,,,78186182.0,ns,3920
fib20slow,,,,,78995305.0,ns,3969
fib20slow,,,,,82764795.0,ns,4018
fib20slow,,,,,81678132.0,ns,4067
fib20slow,,,,,82333264.0,ns,4116
fib20slow,,,,,85667924.0,ns,4165
fib20slow,,,,,85445200.0,ns,4214
fib20slow,,,,,87054602.0,ns,4263
fib20slow,,,,,99196222.0,ns,4312
fib20slow,,,,,88765641.0,ns,4361
fib20slow,,,,,89653742.0,ns,4410
fib20slow,,,,,90557788.0,ns,4459
fib20slow,,,,,91086079.0,ns,4508
fib20slow,,,,,94910254.0,ns,4557
fib20slow,,,,,93660322.0,ns,4606
fib20slow,,,,,93889089.0,ns,4655
fib20slow,,,,,104242022.0,ns,4704
fib20slow,,,,,121822402.0,ns,4753
fib20slow,,,,,96469358.0,ns,4802
fib20slow,,,,,99044602.0,ns,4851
fib20slow,,,,,99152309.0,ns,4900
