group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20 - fast,,,,,1044826.0,ns,202638
fib 20 - fast,,,,,2051345.0,ns,405276
fib 20 - fast,,,,,3254949.0,ns,607914
fib 20 - fast,,,,,3934239.0,ns,810552
fib 20 - fast,,,,,4763800.0,ns,1013190
fib 20 - fast,,,,,6171144.0,ns,1215828
fib 20 - fast,,,,,6820887.0,ns,1418466
fib 20 - fast,,,,,7532333.0,ns,1621104
fib 20 - fast,,,,,8988262.0,ns,1823742
fib 20 - fast,,,,,9680935.0,ns,2026380
fib 20 - fast,,,,,10515800.0,ns,2229018
fib 20 - fast,,,,,11880698.0,ns,2431656
fib 20 - fast,,,,,12415372.0,ns,2634294
fib 20 - fast,,,,,13268799.0,ns,2836932
fib 20 - fast,,,,,14474496.0,ns,3039570
fib 20 - fast,,,,,16717325.0,ns,3242208
fib 20 - fast,,,,,17121235.0,ns,3444846
fib 20 - fast,,,,,17172803.0,ns,3647484
fib 20 - fast,,,,,18056332.0,ns,3850122
fib 20 - fast,,,,,19103363.0,ns,4052760
fib 20 - fast,,,,,20577902.0,ns,4255398
fib 20 - fast,,,,,21834570.0,ns,4458036
fib 20 - fast,,,,,21970662.0,ns,4660674
fib 20 - fast,,,,,23499059.0,ns,4863312
fib 20 - fast,,,,,24955147.0,ns,5065950
fib 20 - fast,,,,,25611370.0,ns,5268588
fib 20 - fast,,,,,26327379.0,ns,5471226
fib 20 - fast,,,,,27416699.0,ns,5673864
fib 20 - fast,,,,,28828580.0,ns,5876502
fib 20 - fast,,,,,29659525.0,ns,6079140
fib 20 - fast,,,,,29333898.0,ns,6281778
fib 20 - fast,,,,,32750949.0,ns,6484416
fib 20 - fast,,,,,32170684.0,ns,6687054
fib 20 - fast,,,,,33112846.0,ns,6889692
fib 20 - fast,,,,,34237752.0,ns,7092330
fib 20 - fast,,,,,34611691.0,ns,7294968
fib 20 - fast,,,,,36717483.0,ns,7497606
fib 20 - fast,,,,,36713841.0,ns,7700244
fib 20 - fast,,,,,37488117.0,ns,7902882
fib 20 - fast,,,,,38061059.0,ns,8105520
fib 20 - fast,,,,,39523623.0,ns,8308158
fib 20 - fast,,,,,39814272.0,ns,8510796
fib 20 - fast,,,,,40234552.0,ns,8713434
fib 20 - fast,,,,,46158373.0,ns,8916072
fib 20 - fast,,,,,44539787.0,ns,9118710
fib 20 - fast,,,,,46030784.0,ns,9321348
fib 20 - fast,,,,,45465862.0,ns,9523986
fib 20 - fast,,,,,45865069.0,ns,9726624
fib 20 - fast,,,,,48297193.0,ns,9929262
fib 20 - fast,,,,,47338423.0,ns,10131900
fib 20 - fast,,,,,49402225.0,ns,10334538
fib 20 - fast,,,,,50888422.0,ns,10537176
fib 20 - fast,,,,,52040167.0,ns,10739814
fib 20 - fast,,,,,53046298.0,ns,10942452
fib 20 - fast,,,,,53629306.0,ns,11145090
fib 20 - fast,,,,,55469232.0,ns,11347728
fib 20 - fast,,,,,55451250.0,ns,11550366
fib 20 - fast,,,,,57188639.0,ns,11753004
fib 20 - fast,,,,,59308236.0,ns,11955642
fib 20 - fast,,,,,57778363.0,ns,12158280
fib 20 - fast,,,,,59968919.0,ns,12360918
fib 20 - fast,,,,,60650574.0,ns,12563556
fib 20 - fast,,,,,60836200.0,ns,12766194
fib 20 - fast,,,,,62571392.0,ns,12968832
fib 20 - fast,,,,,63810912.0,ns,13171470
fib 20 - fast,,,,,65830215.0,ns,13374108
fib 20 - fast,,,,,67830435.0,ns,13576746
fib 20 - fast,,,,,65978774.0,ns,13779384
fib 20 - fast,,,,,67743084.0,ns,13982022
fib 20 - fast,,,,,70073478.0,ns,14184660
fib 20 - fast,,,,,71653447.0,ns,14387298
fib 20 - fast,,,,,70558930.0,ns,14589936
fib 20 - fast,,,,,71296930.0,ns,14792574
fib 20 - fast,,,,,74998633.0,ns,14995212
fib 20 - fast,,,,,74393582.0,ns,15197850
fib 20 - fast,,,,,73823443.0,ns,15400488
fib 20 - fast,,,,,75933777.0,ns,15603126
fib 20 - fast,,,,,78188466.0,ns,15805764
fib 20 - fast,,,,,77984029.0,ns,16008402
fib 20 - fast,,,,,78724879.0,ns,16211040
fib 20 - fast,,,,,81893891.0,ns,16413678
fib 20 - fast,,,,,84664788.0,ns,16616316
fib 20 - fast,,,,,80365024.0,ns,16818954
fib 20 - fast,,,,,84859519.0,ns,17021592
fib 20 - fast,,,,,85442917.0,ns,17224230
fib 20 - fast,,,,,85449973.0,ns,17426868
fib 20 - fast,,,,,85953879.0,ns,17629506
fib 20 - fast,,,,,87640064.0,ns,17832144
fib 20 - fast,,,,,88042798.0,ns,18034782
fib 20 - fast,,,,,91636239.0,ns,18237420
fib 20 - fast,,,,,91938265.0,ns,18440058
fib 20 - fast,,,,,86661372.0,ns,18642696
fib 20 - fast,,,,,92961689.0,ns,18845334
fib 20 - fast,,,,,90186297.0,ns,19047972
fib 20 - fast,,,,,95895716.0,ns,19250610
fib 20 - fast,,,,,96025642.0,ns,19453248
fib 20 - fast,,,,,92181199.0,ns,19655886
fib 20 - fast,,,,,98122156.0,ns,19858524
fib 20 - fast,,,,,97987784.0,ns,20061162
fib 20 - fast,,,,,97776553.0,ns,20263800
